county,cntyname,vtd,Voting District Name,2010 Tract,2010 census pop,alloc factor
42003,Allegheny PA,831,BRENTWOOD DIST 06,4781,912,1
42003,Allegheny PA,841,BRENTWOOD DIST 07*,4781,1027,1
42003,Allegheny PA,851,BRENTWOOD DIST 08*,4781,983,1
42003,Allegheny PA,861,BRENTWOOD DIST 09*,4782,804,1
42003,Allegheny PA,865,BRENTWOOD DIST 10*,4782,788,1
42003,Allegheny PA,871,BRIDGEVILLE DIST 01*,4571,1166,1
42003,Allegheny PA,881,BRIDGEVILLE DIST 02*,4571,65,0.048
,,,,4572,1290,0.952
42003,Allegheny PA,891,BRIDGEVILLE DIST 03*,4572,1169,1
42003,Allegheny PA,901,BRIDGEVILLE DIST 04*,4571,197,0.135
,,,,4572,1261,0.865
42003,Allegheny PA,920,CARNEGIE WD 01 DIST 01,4688,834,1
42003,Allegheny PA,930,CARNEGIE WD 01 DIST 02,4687,490,0.305
,,,,4688,1117,0.695
42003,Allegheny PA,940,CARNEGIE WD 01 DIST 03,4687,1170,1
42003,Allegheny PA,950,CARNEGIE WD 01 DIST 04,4688,621,1
42003,Allegheny PA,961,CARNEGIE WD 02 DIST 01*,4687,99,0.107
,,,,4689,829,0.893
42003,Allegheny PA,980,CARNEGIE WD 02 DIST 02*,4689,731,1
42003,Allegheny PA,990,CARNEGIE WD 02 DIST 03*,4689,626,1
42003,Allegheny PA,1000,CARNEGIE WD 02 DIST 04*,4689,1455,1
42003,Allegheny PA,1011,CASTLE SHANNON DIST 01*,4761,1516,1
42003,Allegheny PA,1021,CASTLE SHANNON DIST 02*,4761,1160,1
42003,Allegheny PA,1031,CASTLE SHANNON DIST 03,4762,1203,1
42003,Allegheny PA,1041,CASTLE SHANNON DIST 04*,4761,906,1
42003,Allegheny PA,1051,CASTLE SHANNON DIST 05*,4761,299,0.342
,,,,4762,575,0.658
42003,Allegheny PA,1061,CASTLE SHANNON DIST 06*,4761,71,0.08
,,,,4762,818,0.92
42003,Allegheny PA,1068,CASTLE SHANNON DIST 07*,4761,1082,1
42003,Allegheny PA,1073,CASTLE SHANNON DIST 08,4762,686,1
42003,Allegheny PA,1080,CHALFANT Voting District*,5639,800,1
42003,Allegheny PA,1091,CHESWICK DIST 01*,4180,876,1
42003,Allegheny PA,1101,CHESWICK DIST 02*,4180,870,1
42003,Allegheny PA,1110,CHURCHILL DIST 01*,5190,731,1
42003,Allegheny PA,1120,CHURCHILL DIST 02,5190,759,1
42003,Allegheny PA,1130,CHURCHILL DIST 03,5190,762,1
42003,Allegheny PA,1140,CHURCHILL DIST 04,5190,759,1
42003,Allegheny PA,1150,CLAIRTON WD 01 DIST 01,4927,560,1
42003,Allegheny PA,1160,CLAIRTON WD 01 DIST 02,4927,653,1
42003,Allegheny PA,1170,CLAIRTON WD 01 DIST 03,4927,551,1
