"county","vtd","tract","bg","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","2010 Tract","bg","cntyname","Voting District Name","Total Pop, 2010 census","vtd to bg alloc factor","bg to vtd alloc factor"
"42003","351","4311.00","1","Allegheny PA","BELLEVUE WD 02 DIST 01",212,0.135,0.127 
"42003","351","4311.00","2","Allegheny PA","BELLEVUE WD 02 DIST 01",429,0.274,0.251 
"42003","351","4315.00","3","Allegheny PA","BELLEVUE WD 02 DIST 01",562,0.359,0.637 
"42003","351","4315.00","4","Allegheny PA","BELLEVUE WD 02 DIST 01",362,0.231,0.503 
"42003","361","4314.00","1","Allegheny PA","BELLEVUE WD 02 DIST 02",76,0.056,0.04 
"42003","361","4315.00","1","Allegheny PA","BELLEVUE WD 02 DIST 02",601,0.444,0.933 
"42003","361","4315.00","3","Allegheny PA","BELLEVUE WD 02 DIST 02",320,0.236,0.363 
"42003","361","4315.00","4","Allegheny PA","BELLEVUE WD 02 DIST 02",358,0.264,0.497 
"42003","371","4314.00","1","Allegheny PA","BELLEVUE WD 03 DIST 01",470,0.347,0.247 
"42003","371","4315.00","1","Allegheny PA","BELLEVUE WD 03 DIST 01",43,0.032,0.067 
"42003","371","4315.00","2","Allegheny PA","BELLEVUE WD 03 DIST 01",842,0.621,1 
"42003","381","4314.00","1","Allegheny PA","BELLEVUE WD 03 DIST 02",1356,1,0.713 
"42003","400","4340.00","2","Allegheny PA","BEN AVON DIST 01",553,1,0.618 
"42003","411","4340.00","1","Allegheny PA","BEN AVON DIST 02",886,0.721,1 
"42003","411","4340.00","2","Allegheny PA","BEN AVON DIST 02",342,0.279,0.382 
"42003","430","5638.00","6","Allegheny PA","BEN AVON HEIGHTS Voting District*",371,1,1 
"42003","441","4753.01","1","Allegheny PA","BETHEL PARK WD 01 DIST 01",58,0.051,0.076 
"42003","441","4753.01","2","Allegheny PA","BETHEL PARK WD 01 DIST 01",631,0.551,1 
"42003","441","4753.01","3","Allegheny PA","BETHEL PARK WD 01 DIST 01",9,0.008,0.005 
"42003","441","4754.02","1","Allegheny PA","BETHEL PARK WD 01 DIST 01",447,0.39,0.328 
"42003","446","4753.01","3","Allegheny PA","BETHEL PARK WD 01 DIST 02",817,0.655,0.411 
"42003","446","4753.01","4","Allegheny PA","BETHEL PARK WD 01 DIST 02",430,0.345,0.412 
"42003","452","4753.01","3","Allegheny PA","BETHEL PARK WD 01 DIST 03",508,0.453,0.255 
"42003","452","4753.01","4","Allegheny PA","BETHEL PARK WD 01 DIST 03",613,0.547,0.588 
"42003","461","4753.04","4","Allegheny PA","BETHEL PARK WD 02 DIST 01*",931,1,0.551 
"42003","466","4753.04","4","Allegheny PA","BETHEL PARK WD 02 DIST 02",44,0.028,0.026 
"42003","466","4754.02","1","Allegheny PA","BETHEL PARK WD 02 DIST 02",372,0.234,0.273 
"42003","466","4754.02","2","Allegheny PA","BETHEL PARK WD 02 DIST 02",1172,0.738,0.69 
"42003","472","4753.04","4","Allegheny PA","BETHEL PARK WD 02 DIST 03",716,0.576,0.423 
"42003","472","4754.02","2","Allegheny PA","BETHEL PARK WD 02 DIST 03",527,0.424,0.31 
"42003","481","4752.00","4","Allegheny PA","BETHEL PARK WD 03 DIST 01*",409,0.387,0.245 
"42003","481","4753.03","2","Allegheny PA","BETHEL PARK WD 03 DIST 01*",647,0.613,0.539 
"42003","486","4752.00","1","Allegheny PA","BETHEL PARK WD 03 DIST 02*",658,0.613,0.707 
"42003","486","4752.00","4","Allegheny PA","BETHEL PARK WD 03 DIST 02*",172,0.16,0.103 
"42003","486","4753.04","1","Allegheny PA","BETHEL PARK WD 03 DIST 02*",243,0.226,0.213 
"42003","493","4753.03","2","Allegheny PA","BETHEL PARK WD 03 DIST 03",554,0.415,0.461 
"42003","493","4753.03","3","Allegheny PA","BETHEL PARK WD 03 DIST 03",781,0.585,0.69 
"42003","501","4754.01","1","Allegheny PA","BETHEL PARK WD 04 DIST 01*",347,0.219,0.258 
"42003","501","4754.01","2","Allegheny PA","BETHEL PARK WD 04 DIST 01*",1237,0.781,0.736 
"42003","511","4751.02","1","Allegheny PA","BETHEL PARK WD 04 DIST 02",113,0.099,0.068 
"42003","511","4753.01","1","Allegheny PA","BETHEL PARK WD 04 DIST 02",330,0.289,0.434 
"42003","511","4754.01","1","Allegheny PA","BETHEL PARK WD 04 DIST 02",206,0.181,0.153 
"42003","511","4754.01","2","Allegheny PA","BETHEL PARK WD 04 DIST 02",444,0.389,0.264 
"42003","511","4754.01","3","Allegheny PA","BETHEL PARK WD 04 DIST 02",47,0.041,0.062 
"42003","522","4751.02","1","Allegheny PA","BETHEL PARK WD 04 DIST 03*",98,0.082,0.059 
"42003","522","4753.01","1","Allegheny PA","BETHEL PARK WD 04 DIST 03*",373,0.314,0.49 
"42003","522","4754.01","3","Allegheny PA","BETHEL PARK WD 04 DIST 03*",717,0.604,0.938 
"42003","530","4754.01","1","Allegheny PA","BETHEL PARK WD 05 DIST 01",792,1,0.589 
"42003","540","4751.01","1","Allegheny PA","BETHEL PARK WD 05 DIST 02*",340,0.377,0.369 
"42003","540","4751.01","2","Allegheny PA","BETHEL PARK WD 05 DIST 02*",554,0.615,0.653 
"42003","540","4751.02","1","Allegheny PA","BETHEL PARK WD 05 DIST 02*",7,0.008,0.004 
"42003","542","4751.01","1","Allegheny PA","BETHEL PARK WD 05 DIST 03",581,0.323,0.631 
"42003","542","4751.01","2","Allegheny PA","BETHEL PARK WD 05 DIST 03",295,0.164,0.347 
"42003","542","4751.01","3","Allegheny PA","BETHEL PARK WD 05 DIST 03",21,0.012,0.016 
"42003","542","4751.01","4","Allegheny PA","BETHEL PARK WD 05 DIST 03",901,0.501,0.553 
"42003","551","4753.01","3","Allegheny PA","BETHEL PARK WD 06 DIST 01",656,0.548,0.33 
"42003","551","4754.02","1","Allegheny PA","BETHEL PARK WD 06 DIST 01",542,0.452,0.398 
"42003","562","4753.03","1","Allegheny PA","BETHEL PARK WD 06 DIST 02",1074,1,0.62 
"42003","565","4753.03","1","Allegheny PA","BETHEL PARK WD 06 DIST 03",657,0.652,0.38 
"42003","565","4753.03","3","Allegheny PA","BETHEL PARK WD 06 DIST 03",351,0.348,0.31 
"42003","571","4752.00","1","Allegheny PA","BETHEL PARK WD 07 DIST 01",273,0.181,0.293 
"42003","571","4752.00","3","Allegheny PA","BETHEL PARK WD 07 DIST 01",441,0.292,0.344 
"42003","571","4752.00","4","Allegheny PA","BETHEL PARK WD 07 DIST 01",796,0.527,0.477 
"42003","576","4751.01","3","Allegheny PA","BETHEL PARK WD 07 DIST 02*",129,0.111,0.099 
"42003","576","4752.00","2","Allegheny PA","BETHEL PARK WD 07 DIST 02*",1037,0.889,1 
"42003","582","4752.00","3","Allegheny PA","BETHEL PARK WD 07 DIST 03",841,0.849,0.656 
"42003","582","4752.00","4","Allegheny PA","BETHEL PARK WD 07 DIST 03",149,0.151,0.089 
"42003","591","4751.01","3","Allegheny PA","BETHEL PARK WD 08 DIST 01",746,1,0.573 
