"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42003","801","Allegheny PA","BRENTWOOD DIST 03*",931,1,1 
"42003","811","Allegheny PA","BRENTWOOD DIST 04*",1225,1,1 
"42003","821","Allegheny PA","BRENTWOOD DIST 05*",1132,1,1 
"42003","831","Allegheny PA","BRENTWOOD DIST 06",912,1,1 
"42003","841","Allegheny PA","BRENTWOOD DIST 07*",1027,1,1 
"42003","851","Allegheny PA","BRENTWOOD DIST 08*",983,1,1 
"42003","861","Allegheny PA","BRENTWOOD DIST 09*",804,1,1 
"42003","865","Allegheny PA","BRENTWOOD DIST 10*",788,1,1 
"42003","871","Allegheny PA","BRIDGEVILLE DIST 01*",1166,1,1 
"42003","881","Allegheny PA","BRIDGEVILLE DIST 02*",1355,1,1 
"42003","891","Allegheny PA","BRIDGEVILLE DIST 03*",1169,1,1 
"42003","901","Allegheny PA","BRIDGEVILLE DIST 04*",1458,1,1 
"42003","920","Allegheny PA","CARNEGIE WD 01 DIST 01",834,1,1 
"42003","930","Allegheny PA","CARNEGIE WD 01 DIST 02",1607,1,1 
"42003","940","Allegheny PA","CARNEGIE WD 01 DIST 03",1170,1,1 
"42003","950","Allegheny PA","CARNEGIE WD 01 DIST 04",621,1,1 
"42003","961","Allegheny PA","CARNEGIE WD 02 DIST 01*",928,1,1 
"42003","980","Allegheny PA","CARNEGIE WD 02 DIST 02*",731,1,1 
"42003","990","Allegheny PA","CARNEGIE WD 02 DIST 03*",626,1,1 
"42003","1000","Allegheny PA","CARNEGIE WD 02 DIST 04*",1455,1,1 
"42003","1011","Allegheny PA","CASTLE SHANNON DIST 01*",1516,1,1 
"42003","1021","Allegheny PA","CASTLE SHANNON DIST 02*",1160,1,1 
"42003","1031","Allegheny PA","CASTLE SHANNON DIST 03",1203,1,1 
"42003","1041","Allegheny PA","CASTLE SHANNON DIST 04*",906,1,1 
"42003","1051","Allegheny PA","CASTLE SHANNON DIST 05*",874,1,1 
"42003","1061","Allegheny PA","CASTLE SHANNON DIST 06*",889,1,1 
"42003","1068","Allegheny PA","CASTLE SHANNON DIST 07*",1082,1,1 
